appno,first_name,last_name,gender,dob,phone_no,email_id,address,father_name,father_occupation,mother_name,mother_occupation,category,tenth_score,twelveth_score,previous_stream,stream_opting_for,course_opting_for,achievements,status,documents
APPLN1,Fahad,Ahmed,Female,31-10-2000,9513206704,ahmed.alpha555@gmail.com,Bangalore,Riyaz Ahmed,Gold smith,Mubeen Taj,House wife,General,82,85,Science,Science,BCA in Analytics,Won in various sports events,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN2,Mohammed,Shariff,Male,14-04-2000,7019896754,shariff@gmail.com,"High street, Bangalore",Mohammed,Engineer,Ammi,House wife,General,78,80,Commerce,Commerce,BBA,won in a debate competition,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN3,Mahira,Kauser,Female,23-02-1995,9876543210,heenakauser@gmail.com,"Thanisandra, Bangalore",Riyaz Ahmed,Gold smith,Mubeen Taj,House wife,General,85,88,Science,Commerce,BCom in Tourism,won in dance competitions,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN4,Raj,Mishra,Male,12-09-2000,9876054321,rajmishra@gmail.com,"Church street, Bangalore",Akshay Mishra,Business man,Rashmi Mishra,Teacher,SC|ST,78,79,Science,Commerce,BBA in Aviation,,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN6,Mohammed,Umar,Male,09-06-2000,8765432109,mohammed.umar@gmail.com,"Richmond town, Bangalore",Mohammed Ismail,Manager in a private company,Ayesha Fathima,House wife,General,89,90,Science,Science,BCA in Analytics,Won in debate competitions,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN7,Manas ,Sebastin,Male,12-03-2000,9876123450,manas.sebastin@gmail.com,"Residency road, Bangalore",Melvin,Manager at a bank,Mercy,House wife,General,82,80,Science,Commerce,BBA,Won in a marathon,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN8,Syed ,Mujahid,Male,23-12-2000,9901762174,syed.mujahid@gmail.com,"RT Nagar, Bangalore",Syed,Event Manager,Mrs. Syed,House wife,2B,78,78,Commerce,Commerce,BCom in Tourism,Won in inter-collegiate fest,Admitted,"{'10th_marks_card': Submitted, '12th_marks_card': Submitted, 'Aadhar_Card': Submitted, 'Code_of_conduct': Submitted, 'Transfer_certificate': Submitted}"
APPLN9,Raj,Kapoor,Female,12-01-2000,8907654321,raj.kapoor@gmail.com,"Sadashivnagar, Bangalore",Om Kapoor,Lawyer,Shanti Kapoor,Doctor,General,67,70,Commerce,Arts,BA in Economics,,Not admitted,
APPLN10,Alwin,Mathew,Male,02-04-2001,9876543210,alwin.mathew@gmail.com,"Davis road, Bangalore",Robert Mathew,Real Estate Agent,Kathleen Mathew,House wife,SC|ST,78,80,Commerce,Science,BCA,,Not admitted,
APPLN11,Zakiyya,Fathima,Female,05-11-2022,9876512340,zakiyya.fathima@gmail.com,"Thanisandra, Bangalore",Musa Sharieff,Hospital Tourism,Heena Kauser,House wife,General,80,85,Science,Arts,BA in English,Won in singing competition,Admitted,"{'10th_marks_card': 'Submitted', '12th_marks_card': 'Submitted', 'Aadhar_Card': 'Submitted', 'Code_of_conduct': 'Submitted', 'Transfer_certificate': 'Submitted'}"
APPLN13,Arjun ,G K,Male,22/05/2000,9986184972,arjun@gmail.com,Thanisandra,Gangadhar B K,Business,Rekha,Home Maker,General,85,81,Science,Science,BCA in Analytics,Hackathon,Admitted,"{'10th_marks_card': 'Submitted', '12th_marks_card': 'Submitted', 'Aadhar_Card': 'Submitted', 'Code_of_conduct': 'Submitted', 'Transfer_certificate': 'Submitted'}"
