appno,first_name,last_name,gender,dob,phone_no,email_id,address,father_name,father_occupation,mother_name,mother_occupation,category,tenth_score,twelveth_score,previous_stream,stream_opting_for,course_opting_for,achievements,status,documents
APPLN1,Fahad,Ahmed,Female,31-10-2000,9513206704.0,ahmed.alpha555@gmail.com,Bangalore,Riyaz Ahmed,Gold smith,Mubeen Taj,House wife,General,82.0,85.0,Science,Science,BCA in Analytics,Won in various sports events,Admitted,"{'10th_marks_card': None, '12th_marks_card': None, 'Aadhar_Card': None, 'Code_of_conduct': None, 'Transfer_certificate': None}"
APPLN2,Mohammed,Shariff,Male,14-04-2000,7019896754.0,shariff@gmail.com,"High street, Bangalore",Mohammed,Engineer,Ammi,House wife,General,78.0,80.0,Commerce,Commerce,BBA,won in a debate competition,Admitted,"{'10th_marks_card': None, '12th_marks_card': None, 'Aadhar_Card': None, 'Code_of_conduct': None, 'Transfer_certificate': None}"
APPLN3,Mahira,Kauser,Female,23-02-1995,9876543210.0,heenakauser@gmail.com,"Thanisandra, Bangalore",Riyaz Ahmed,Gold smith,Mubeen Taj,House wife,General,85.0,88.0,Science,Science,BSc(PMCS),won in dance competitions,Admitted,"{'10th_marks_card': None, '12th_marks_card': None, 'Aadhar_Card': None, 'Code_of_conduct': None, 'Transfer_certificate': None}"
APPLN4,Raj,Mishra,Male,12-09-2000,9876054321.0,rajmishra@gmail.com,"Church street, Bangalore",Akshay Mishra,Business man,Rashmi Mishra,Teacher,SC|ST,78.0,79.0,Science,Science,BSc(PMCS),none,Admitted,"{'10th_marks_card': None, '12th_marks_card': None, 'Aadhar_Card': None, 'Code_of_conduct': None, 'Transfer_certificate': None}"
APPLN6,Mohammed,Umar,Male,09-06-2000,8765432109.0,mohammed.umar@gmail.com,"Richmond town, Bangalore",Mohammed Ismail,Manager in a private company,Ayesha Fathima,House wife,General,89.0,90.0,Arts,Arts,BA in Economics,Won in debate competitions,Admitted,"{'10th_marks_card': None, '12th_marks_card': None, 'Aadhar_Card': None, 'Code_of_conduct': None, 'Transfer_certificate': None}"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
